nid,vid,title,description,type,creator,contributor,date_issued,date_issued_start,date_issued_end,date_other,alternate_title,subject,annotations,form,identifier_local,caption,extent,note,city,state,country,continent,region,coordinates,extraterrestrialarea,projection,scale,publisher,origin_info_place,copyright_date,physical_location,provenance,access_condition,language,purl,fullsize,thumbnail
85330,85330,New township and railroad map of the state of Minnesota,,Cartographic,,"Pioneer Press Co. (Saint Paul, Minn.) (Lithographer)",1882,,,,,Minnesota_Maps,,Paper Map,map00003 | G4140 1882 .M4,,20 x 17 inches,"Includes inset map of Minnesota_s continental position and township diagram.  Text entitled _1882, Minnesota, the Great Agricultural, Manufacturing and Commercial State of the Northwest_ on verso.",,Minnesota,,North America,,,,,,State Board of Immigration,"Saint Paul, Minnesota",,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89368,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006861.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006861.jpg
85331,85331,Colton's Minnesota,,Cartographic,,G.W. & C.B. Colton & Co. (Original copyright holder),1873,,,,,Minnesota_Maps,,Paper Map,map00004 | G4140 1867 .C8A,,16 x 23 inches,"Atlas plates 76 and 77.  Longitude west from Greenwich and Washington, D.C.  Map may have been published in 1873 or later.",,Minnesota,,North America,,,,,,G.W. & C.B. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89367,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006873.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006873.jpg
85332,85332,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), 1792-1868 (Original copyright holder)",1870,,,,,Minnesota_Maps,,Paper Map,map00005 | G4140 1874 .G2,,14 x 12 inches,"Atlas plate 50.  Date of copyright registration 1874. Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[ S. Augustus Mitchell?],Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89366,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006884.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006884.jpg
85333,85333,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), 1792-1868 (Original copyright holder)",1873,,,,,Minnesota_Maps,,Paper Map,map00006 | G4140 1875,,14 x 12 inches,"Atlas plate 77.  Date of copyright registration 1875. Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[S. Augustus Mitchell?],Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89305,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006894.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006894.jpg
85334,85334,Map of Minnesota territory,,Cartographic,"Young, J. H. (James Hamilton)","Thomas, Cowperthwait & Co. (Original copyright holder)",1850,,,,,Minnesota_Maps,,Paper Map,map00007 | G4140 1852 .Y8B,,13 x 16 inches,"Atlas plate 36.  Longitude west from Greenwich and Washington, D.C.  Explanatory text includes _Reference to the late Indian Treaties._  Map may have been published in 1852.",,Minnesota,,North America,,,,,,"Thomas, Cowperthwait & Co.",Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89306,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006906.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006906.jpg
85335,85335,Map of Minnesota territory,,Cartographic,"Young, J. H. (James Hamilton)","Thomas, Cowperthwait & Co. (Original copyright holder)",1850,,,,,Minnesota_Maps,,Paper Map,map00008 | G4140 1852 .Y8A,,13 x 16 inches,"Atlas plate 36.  Longitude west from Greenwich and Washington, D.C.  Explanatory text includes _Reference to the late Indian Treaties._  Map may have been published in 1852.",,Minnesota,,North America,,,,,,"Thomas, Cowperthwait & Co.",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89307,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006921.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006921.jpg
85336,85336,Minnesota,,Cartographic,,,1871,,,,,Minnesota_Maps,,Paper Map,map00009 | G4140 1876 .G7,,29 x 18 inches,"Atlas plates 108 and 109.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[s.n.],United States?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89308,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006939.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006939.jpg
85337,85337,Colton's Minnesota,,Cartographic,,G.W. & C.B. Colton & Co. (Original copyright holder),1871,,,,,Minnesota_Maps,,Paper Map,map00010 | G4140 1874 .C6,,25 x 17 inches,"Atlas plates 69 and 70. Date of copyright registration 1867. Longitude west from Greenwich and Washington, D.C.  _Colton_s Wisconsin_ map (atlas plate 71) and city maps of Saint Louis and Chicago (atlas plate 68) on verso and bear copyright registration date 1855.  Map shows Minnesota boundaries as of 1871 and may have been published in 1871 or later.",,Minnesota,,North America,,,,,,G.W. & C.B. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89309,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006957.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006957.jpg
85338,85338,Asher and Adams' Minnesota,,Cartographic,,Asher & Adams (Original copyright holder),1870,,,,,Minnesota_Maps,,Paper Map,map00011 | G4140 1872 .A8,,22.25 x 16 inches,"Atlas plate 84.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[Asher & Adams?],United States,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89310,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006970.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006970.jpg
85339,85339,Gray's atlas map of Minnesota,,Cartographic,,"Gray, Ormando Willis",1871,,,,,Minnesota_Maps,,Paper Map,map00012 | G4140 1871 .G7,,23.25 x 16.5 inches,"Atlas plates 122 and 123.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[s.n.],United States,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89311,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006985.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006985.jpg
